2011-07-30_topics,2011-07-30_corr
T27,0.564636917030667
T127,0.550141968670104
T11,0.546118049261524
T81,0.506480468955777
T77,0.482507161869757
T179,0.476142068513419
T52,0.475517759703366
T74,0.473864203221358
T100,0.46875442041906
T138,0.467283693119545
T58,0.456353231041221
T88,0.447561822498132
T131,0.438693123464146
T133,0.43521198425321
T118,0.430400991129023
T119,0.429214121884472
T129,0.405320112097827
T79,0.400171264194329
T136,0.396247379656322
T198,0.392213523726714
