date,year,month,T11,T27,T52,T74,T77,T81,T100,T127,T131,T138,financial_1,economic_1,economic_2,economic_3,economic_4,economic_5,economic_6,economic_7,economic_8,economic_9,economic_11,economic_12,d_gdp,ind_backcast,ind_nowcast,ind_forecast1Q,ind_forecast2Q
1992-01-31,1992,1,-0.000273912578948677,-0.00101374546801699,0.000183347742931849,-0.000373734399314195,-0.000418879623662815,-0.000959062165733308,-0.000581604290796677,-0.00011298331830906,-0.000822905849283264,-0.000522218616880789,6.64917079982965,3.82627057352884,1.20193754657842,6.96365792658566,-0.981087056425967,4.72913520268889,1.15441397468654,0.276243269590992,0.667113881702264,-0.505690078897381,1.03181798477463,3.50859948227846,NaN,0,0,0,0
1992-02-29,1992,2,0.000234292100432623,-0.000800067894524142,-0.000557908678941065,-0.000421042010784029,-0.000208241790683058,-0.000481910430412597,-0.000460426455114057,-2.68630796643825e-05,-0.000144164111528532,-0.000321207142374868,3.5581770340543,6.04366695557559,1.65880580838991,6.51014257401075,0.281294137661448,8.66990765391087,0.857148105014094,0.275482267884453,0.265604405811626,0.505690078897381,-0.0882056508801021,5.5722393649944,NaN,0,0,0,0
1992-03-31,1992,3,0.000114497215341236,-0.000108710496262289,-8.20748989626396e-05,0.000877584672198571,9.94156389781037e-05,0.000214692001860101,0.000591902299909312,9.31853526864757e-05,0.000717575922424444,-0.000171834862707926,-1.63981349686884,-3.20883145515003,-2.86074335496833,-3.66803298305314,-0.84626739187339,0.74638795628168,-1.43268926207618,0.411805660891762,0.397088542949309,0.251889301948349,-0.918163803409833,-2.81048783695255,6.20673947627388,0,0,0,0
1992-04-30,1992,4,-0.000292803135228197,0.000239384001361576,0.00130643321690339,0.000304190837915282,-8.18040885238061e-05,4.10937873317524e-05,-1.00075408361106e-05,4.85877251030723e-05,-0.000447839844840317,-0.000311069558379477,0.565221857606968,-1.64387263431598,-0.12099215027126,-1.76683041333145,-3.01963992310164,-2.31950672811401,0.288184637488875,0.54644944720792,0.395517984292759,0.376648279547709,-1.00374847781879,-2.57732161231363,NaN,0,0,0,0
1992-05-31,1992,5,0.000426326751057991,0.000453295819263017,-9.40120310032043e-05,0.000605063013095738,-0.000431835268560894,-0.000101318199396499,0.000251450702305762,-0.000112301120063746,-9.56845274552442e-05,-0.000574587077249957,4.42970296902772,1.02081765925233,-0.729043326267931,-1.37603128402164,-2.2141125877214,0.886448359664982,-0.577202179712177,0.272109011436061,0.131492458130911,-0.12539186595939,-0.579973271533696,0.502614861945894,NaN,0,0,0,0
1992-06-30,1992,6,-0.000462377579975526,-6.07188154438581e-05,0.000837685697234188,-0.000514985131571034,-0.000254449636643908,0.00041855246205604,0.000661284100507792,-0.000121480750927387,5.08514773057121e-05,-0.000678412521509483,-2.88734238118158,-1.02081765925233,-1.47422817372034,2.55737993120988,-2.26424767497591,-1.13374508396085,-1.01819061451192,0.271370587159581,0.654881187890499,0.375704887771189,-1.54355208911783,-1.39743242026,-3.0213379367563,0,0,0,0
1992-07-31,1992,7,-0.000107922715671978,9.5791944181665e-05,-0.000595341858562035,-2.76788722863016e-06,-0.000421458834335608,-0.000784584444681285,-0.00036936649933984,-0.000460910642260555,-0.00100509082916763,-0.000707263080577249,-8.71444940741943,-2.80130362276738,-2.00006667066699,-5.18188210855817,-2.31670592815352,-1.24595046906109,-2.06802052375394,0.135409634772987,0.130463162666494,-0.250313021811799,-1.48111673435825,-3.11196415929533,NaN,0,0,0,0
1992-08-31,1992,8,6.37584222606041e-05,-0.000118771965810894,-0.000561682010578962,-9.93370139479554e-05,-0.000161409464467505,-0.000985518478592904,0.00020297108466432,-4.17456458983647e-05,-0.000347663255072193,-0.000674647355284392,-5.00477360739229,3.43073134990615,0.503779402995708,-0.0618620496065425,1.08781181471835,4.41571310469939,0.298062813813793,0.135226525001375,0,0,0.64407114849292,3.05044990536167,NaN,0,0,0,0
1992-09-30,1992,9,-0.000477749426335192,-0.000535627647851847,-0.00064293095557015,0.00029482764178731,0.000670746932867975,0.000400934168362842,0.000259131323749479,-8.70861771832573e-05,-0.000106354889417118,-0.000846081581230561,-3.99245081358881,-0.235571369245946,-1.01010959865038,1.47422817372034,0.61633477076688,-1.23609795905679,1.03627870355467,0.135043909787136,0.260416813838837,-0.12539186595939,-1.44664367472336,-0.548862580557774,-1.35537899151181,0,0,0,0
1992-10-31,1992,10,-0.000531165131538225,-0.00168994439953693,-0.000394110062543101,-0.000123876581863736,7.70613782705752e-05,0.000333081366337213,0.00050023099306168,-6.3106585735415e-05,-0.000330863206186327,-0.0010339824758812,1.32377677623028,-1.66472334331562,-0.126984144047615,1.69290621004476,-5.85147140614275,-0.096827236415109,-1.7831081643072,0.538359308347225,0.518807908177799,-0.125549294583216,-0.457666702741211,-2.16210094087845,NaN,0,0,0,0
