topic,average_correlation
T27,0.5985292264999094
T127,0.5598762172865142
T11,0.5599570956507156
T81,0.5403424496493692
T77,0.47352134234718657
T74,0.49685031155895726
T52,0.4975833795185862
T131,0.4621105274033284
T138,0.5005683316734698
T100,0.4778719822329568
