"backcasts_fe","nowcasts_fe","forecasts_1step_fe","forecasts_2step_fe"
0.488591589957216,2.60862577909716,-6.11675435755958,-1.50865961964248
2.27025816008292,-5.08489136154151,-0.77558065544815,-0.27698690418555
-5.49577942021537,1.19772785903313,1.4100673994994,-4.66353326650018
1.09585712668413,3.13613806602834,-2.86867337728162,1.03133025378667
2.63325032984288,-0.0838055784683602,3.52598648277556,-0.28769648461614
-0.68865023120369,1.85548863980656,-0.46096935745515,2.06085818102794
1.92013955171714,-0.41146588722721,2.16787784514402,-0.66777054368979
-0.8844110072967,-1.46312670380121,-2.0229052962401,0.02411898753125
-1.35131973018294,-2.4496082456811,-0.578392624984742,0.207253139919464
-2.29477088213187,-0.20985040372034,-0.325239554677523,3.52103432814432
0.12415111579257,-1.09590949577489,2.12108023305744,0.765947585050234
-0.89360853481613,3.35293523297761,1.19841427856127,-1.5392521159962
3.257466580726,1.77888181672591,-1.01826230883455,0.0855978049938599
1.71139311531034,-0.8966567113641,0.64229420264473,-0.17005532115086
-1.02617073692813,0.40658079422988,0.10609653874137,-1.96885007208479
0.34134281545094,0.52365791094422,-1.7700135792233,1.94121612664054
0.56193673324888,-1.42410223726061,1.82494312045832,0.971454260575066
-1.45663403406308,2.20663351740892,1.06118533864794,-1.52596149133021
2.38874724653585,2.48908549326927,-1.17705882449138,0.22433691411099
2.25678922824655,-1.24918013915531,-0.335875515888854,-0.60351307428393
-0.93924816142879,0.78752174645476,-0.00472066011372996,0.04973989723806
0.4244796714198,0.20652464793351,0.81195871199129,0.29077721941391
0.30345662354781,-0.21660875639187,-0.576577274951366,-1.47864023243509
0.0337765245102699,0.80306154568111,-0.44600123047793,-0.2351570232713
0.59736375594889,0.17375208293562,0.3996456548811,0.596324784594679
-0.35933285621864,-0.0295298984429,0.729129167115619,-0.42377407560669
0.18982826152399,-0.68446110765705,-1.95857705001208,-1.29239856229388
-0.282064864998721,-1.06782527438935,-1.89661305129654,-1.24697825822363
-0.760531748665787,-0.88854590309271,-0.79486865347023,-1.9461723738702
-1.02061455985134,0.10048850115392,-1.51530780896374,-1.07124850755036
0.19088406645232,-0.44381440161938,-0.84696057030712,0.14616240022513
-0.64645808909479,0.10070485525506,0.49694920810632,-0.43268107966822
0.0728131641748,2.28491085818503,0.96760158359398,2.33225907555645
1.79277120103785,0.49541914084461,2.4993419359217,1.35071655662619
