date,year,month,financial_1,financial_2,financial_3,economic_1,economic_2,economic_3,economic_4,economic_6,economic_7,economic_8,economic_9,economic_10,economic_11,d_gdp,ind_backcast,ind_nowcast,ind_forecast1Q,ind_forecast2Q
1992-01-31,1992,1,6.64917079982965,-0.371652173913043,-0.296142292490118,3.75909739388085,1.19602754629717,5.712291445231,-0.928799246647039,1.00503358535011,0.276243269590992,0.400802139753864,-0.505690078897381,0.118553659410203,1.0331793917425,NaN,0,0,0,0
1992-02-29,1992,2,3.5581770340543,-0.0625978260869573,-0.0013804347826083,6.11955610269197,1.70272614102807,7.04803986472866,0.310559255815246,0.995033085316877,0.275482267884453,0.399202126953746,0.505690078897381,0.236686501026639,-0.0879477782223859,NaN,0,0,0,0
1992-03-31,1992,3,-1.63981349686884,-0.0200681818181803,0.0537045454545453,-3.15425036366186,-2.89875368732524,-3.14221795459204,-0.778214044205505,-1.49628726767128,0.411805660891762,0.397614837963989,0.251889301948349,0.471698987813873,-0.917905475899605,6.36987832853393,0,0,0,0
1992-04-30,1992,4,0.565221857606968,0.0164090909090895,-0.000181818181817839,-1.71106836132102,-0.133779284166025,-2.34890423371237,-3.17486983145798,0.334448472284699,0.54644944720792,0.396040121609698,0.376648279547709,0.235017734495369,-1.0022737846076,NaN,0,0,0,0
1992-05-31,1992,5,4.42970296902772,0.0712424242424241,0.0172987012987011,0.954205713320277,-0.671594196543701,-1.55691767642425,-2.11906869796392,-0.502093105009926,0.272109011436061,0.263158046605572,-0.12539186595939,0.234466695925395,-0.581236067565971,NaN,0,0,0,0
1992-06-30,1992,6,-2.88734238118158,0.0226666666666677,0.0109740259740256,-0.954205713320277,-1.63047090249435,2.67952917067564,-2.33343920617726,-1.18144834137635,0.271370587159581,0.393443130483462,0.375704887771189,0.233918235317176,-1.54553934862545,-2.62523386756079,0,0,0,0
1992-07-31,1992,7,-8.71444940741943,0.0500869565217386,0.0568893280632414,-2.81982708496438,-1.79686935428158,-4.75277416187287,-2.21662954572608,-2.05839171434867,0.135409634772987,0.130804466001511,-0.250313021811799,0,-1.47677515194884,NaN,0,0,0,0
1992-08-31,1992,8,-5.00477360739229,0.00900828157349842,-0.0591014492753628,3.39344242451682,0.278551712142594,-0.370370793748442,1.02916860365481,0.34602110648958,0.135226525001375,0.130633591405527,0,0.116754245603801,0.634560612061019,NaN,0,0,0,0
1992-09-30,1992,9,-3.99245081358881,-0.419458874458874,-0.33669696969697,-0.190839752576011,-0.837993730675102,1.35137191667232,0.510639407457347,1.03093696588612,0.135043909787136,0.130463162666494,-0.12539186595939,0,-1.43887374520997,-1.19447643820685,0,0,0,0
1992-10-31,1992,10,1.32377677623028,-0.677,-0.265545454545454,-1.63701296468552,-0.140350900232011,1.45369004490981,-5.76578894010042,-1.72418064345061,0.538359308347225,0.52015721960732,-0.125549294583216,-0.23364496610192,-0.4552853392914,NaN,0,0,0,0
1992-11-30,1992,11,3.65402059597111,-0.184207792207792,-0.0538051948051947,2.01832896532697,-1.55700243773857,-0.120336957963296,1.07335556431094,-0.698083114134018,0.268096675325769,0.388350002639815,0.125549294583216,0.11689072049812,-1.50334875392772,NaN,0,0,0,0
1992-12-31,1992,12,-0.433912301743078,-0.0251677018633538,-0.0239378881987582,6.98171431628252,-1.72666160209314,10.1802114991027,2.11275464258751,1.39132679169851,0,0.258064659349166,0,0,-0.960480231973371,-0.848250801264072,0,0,0,0
1993-01-31,1993,1,2.28831364268789,-0.265022774327123,-0.205728778467908,-6.69667849384687,-1.16789648641458,-5.82145322233618,-1.75751448215076,-5.13841993464785,1.46182005095543,1.28042722459876,-0.125549294583216,0,-1.36036181112793,NaN,0,0,0,0
1993-02-28,1993,2,6.51601226009078,-0.269988095238095,-0.157269047619048,0,-1.47931691778309,-2.92418495944977,-2.87789645500434,0,0.52631700442749,0.507615303186082,0.250941160542606,0,-2.56883670695434,NaN,0,0,0,0
1993-03-31,1993,3,-0.189466046517239,-0.355945652173913,-0.331436956521739,3.63337590752311,0.148920355146753,4.35482452457352,-2.02771924391509,-0.18198367169866,0.131147559781031,0.252844635335858,0,-0.11689072049812,-0.549728456524257,-3.56226876167227,0,0,0,0
1993-04-30,1993,4,-3.02777405998427,-0.00144071146245039,0.0426324110671938,-0.274851295334955,-0.746829460752529,-2.12468515042676,0.186046565291953,-0.182315456151461,0.522877008279909,0.378072283990605,-0.250941160542606,0.11689072049812,-0.740311193305754,NaN,0,0,0,0
1993-05-31,1993,5,0.0233558906110432,0.0928030303030303,0.17421645021645,0.457666702741211,0,-2.17080979661288,2.20597180647326,-1.47061473896954,0,0.251256413588319,0,-0.233918235317176,-0.943032528951182,NaN,0,0,0,0
1993-06-30,1993,6,4.43083241989832,0.0548787878787884,-0.0441709956709957,-1.28678246113934,-0.752448997861599,0.177777824599978,-1.64989993800355,-0.185356864932329,0.52015721960732,0.500626827814443,0,0,-1.31136391453825,0.201536721734286,0,0,0,0
1993-07-31,1993,7,6.9346671532708,-0.257681818181818,-0.199272727272728,-1.58511477376182,-2.29192614361073,5.13524992660495,1.28560081015343,-0.931973194880209,0.12961764614472,0.124766079815508,0.125549294583216,0.233918235317176,-0.481155699722269,NaN,0,0,0,0
1993-08-31,1993,8,5.79717610646,-0.255681818181818,-0.237045454545454,4.14233174487775,4.23663963716292,-1.30202801738832,-0.548949228477147,3.13389701927198,0.258732356495095,0.497513464011412,0,0,1.08731483758175,NaN,0,0,0,0
