topic0,autos,auto,fahrzeug,herstell,pkw,autoindustri,kfz,vda,diesel,fahr,lit,pro,autofahr,verbrauch,automobilindustri,motor,wag,kilomet,benzin,gottschalk,branch,steu,neuwag,autoherstell,abwrackprami,iaa,modell,gramm,neuzulass,schwer,automobil,sparsam,fahrt,verband,kraftstoff,zugelass,adac,je,umweltfreund,handl,nutzfahrzeug,antrieb,hybrid,grenzwert,prami,sixt,kost,batteri,einheit,benzinpreis,verkauft,autokauf,einfuhr,absatz,strass,ps,entsprech,erreich,kauf,zulass,main,teur,acht,deutschen_hersteller,sprit,ausstoss,technisch,verkehr,alternativ,werkstatt,verband_der_automobilindustrie,automarkt,elektroautos,rad,fahrrad,kraftfahrzeug,durchschnitt,autobranch,bring,tankstell,brennstoffzell,treibstoff,cent,autobau,nachfrag,katalysator,senk,tempolimit,mobilitat,automobilherstell,flott,gesamt,bislang,motorrad,technik,belast,biodiesel,importeur,dieselmotor,autovermiet
topic45,fdp,koalition,csu,liberal,waigel,union,westerwell,bundestagsfraktion,bundestag,mollemann,partei,fraktion,fraktionschef,bundeskanzler_helmut_kohl,meint,opposition,lambsdorff,fraktionsvorsitz,woll,stellvertret,nannt,warf,guido_westerwelle,sprach,generalsekretar,verlangt,jürgen_möllemann,rainer_brüderle,bonner_koalition,bekraftigt,bundesfinanzminister_theo_waigel,solm,bundestagswahl,wolfgang_gerhardt,koalitionspartn,otto_graf_lambsdorff,hermann_otto_solms,rudolf_scharping,kritisiert,wirtschaftspolit,scharping,finanzpolit,bruderl,sozialdemokrat,prasidium,finanzminister_theo_waigel,wolfgang_schäuble,durf,rexrodt,hintz,kinkel,lehnt,wies,diskussion,bundeswirtschaftsminist,hielt,abschaff,wirtschaftsminist,vorschlag,gelb,wirtschaftsminister_günter_rexrodt,montag,parteichef,bezeichnet,bohl,streit,regierungskoalition,zugun,kundigt,doring,schwanhold,schnarrenberg,beginn,klos,bundeswirtschaftsminister_günter_rexrodt,hoy,oskar_lafontaine,wochen,sozial,solidarzuschlag,steuerpolit,wort,schal,bundestagsabgeordnet,solidaritatszuschlag,koalitionsverhandl,thema,friedrich_bohl,legislaturperiod,theo_waigel,koalitionsaussag,ansicht,wandt,bundnis,freien_demokraten,aussert,klarheit,koalitionsrund,stellvertretende_vorsitzende,beschluss
 ,0.185,0.04,0.039,0.027,0.021,0.018,0.013,0.013,0.012,0.011,0.01,0.01,0.008,0.008,0.008,0.007,0.006,0.006,0.006,0.006,0.006,0.006,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002
topic46,mess,hannov,koln,ausstell,veranstalt,besuch,leipzig,expo,dusseldorf,branch,cebit,geschaftsfuhr,eroffn,prasenti,hall,vertret,eroffnet,zeig,fachmess,stand,statt,prasentiert,erstmal,hannover_messe,thema,weltausstell,bedeut,weltgrosst,kongress,diesjahr,stattfind,gesellschaft,messegesellschaft,messegeland,quadratmet,findet,schwerpunkt,vorfeld,them,trend,beteil,konzept,zufried,angebot,schau,fachbesuch,gmbh,bild,motto,gezeigt,flach,veranstaltet,anlass,marz,vergangenen_jahr,jahrlich,neuheit,teilnehm,geland,septemb,interess,auma,besucherzahl,messeplatz,prasentation,stattfindet,biet,deutschen_wirtschaft,messe_ag,fuhrend,mittelpunkt,beginn,zahlreich,verband,produkt,leitmess,pressekonferenz,anbiet,ausstellungsflach,deutz,jeweil,aktuell,impuls,auftritt,boot,forum,zeich,vorjahr,messehall,april,platz,darunt,beginnt,auftakt,teilnahm,oktob,start,show,optimist,samstag
 ,0.069,0.042,0.04,0.035,0.024,0.021,0.017,0.014,0.012,0.01,0.009,0.008,0.008,0.008,0.008,0.007,0.007,0.007,0.007,0.006,0.006,0.006,0.005,0.005,0.005,0.005,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002
topic47,bors,handel,gehandelt,geschaft,finanzplatz,akti,futur,london,terminbors,finanzmarkt,derivat,deutsche_börse,brok,zuletzt,exchang,elektron,liquiditat,new_york,marktteilnehm,option,kontrakt,einfuhr,euronext,wertpapi,eurex,syst,nasdaq,deutschen_börse,interess,chicago,fuhrend,market,handeln,nys,zahlreich,kapitalmarkt,sowohl,lse,bislang,bedeut,transaktion,besteh,inzwisch,trad,handl,wertpapierbors,handelsplatz,abwickl,akteur,plattform,xetra,zunehm,teilnehm,zugang,ord,start,global,of,makl,deutsche_börse_ag,parkett,aktienmarkt,abgewickelt,kooperation,system,clearing,and,erfolgreich,taglich,hinaus,borsenplatz,dtb,board,verfug,darub,bekannt,aktienhandel,direkt,liff,nutz,finanz,erfolg,handelsvolum,uhr,terminmarkt,handelt,planspiel,liquid,vorteil,rettberg,basis,european,handelssyst,traditionell,hintergrund,verschied,europas,amsterdam,securiti,wertpapierhandel
 ,0.069,0.026,0.014,0.011,0.009,0.008,0.007,0.007,0.007,0.006,0.006,0.006,0.006,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002
topic48,inzwisch,bilanz,dennoch,immerhin,vergang,erfolg,kraftig,zuletzt,bislang,mittlerweil,spur,dank,lasst,scheint,blick,zumind,wohl,obwohl,geword,voran,langsam,vorbei,eher,profitiert,lauft,bescheid,strich,mag,fallt,wach,voll,hinzu,sorgt,zieht,vergangenen_jahren,schafft,hart,tatsach,stolz,schwer,schliesslich,beschert,zeig,oben,gar,trotzd,satt,freud,zumal,entfernt,best,vergleich,kurzlich,gleich,bekomm,sprung,geschafft,halb,bald,herb,spricht,lauf,frucht,schlagt,gelung,enorm,freu,zufried,boom,weitgeh,vorn,profiti,schlag,verlor,wund,doppelt,vergleichsweis,ebenso,anfang,hinterlass,glanzend,ohnehin,freilich,gefullt,durchaus,einzig,fehlt,glaubt,uppig,kass,hangt,glanz,ahnlich,mal,zahlt,imag,jahrelang,zwolf,jedenfall,allzu
 ,0.017,0.013,0.012,0.012,0.011,0.011,0.01,0.01,0.009,0.009,0.009,0.008,0.008,0.007,0.007,0.007,0.007,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002
topic49,wettbewerb,national,staatlich,behord,liberalisier,freien,regulier,kartellamt,fair,bundeskartellamt,durf,monopol,konkurrenz,interess,anbiet,zugang,unabhang,offnung,auflag,bog,beschrank,schutz,verhind,bedenk,deregulier,eingriff,ordnungspolit,wettbewerbshut,wettbewerbsrecht,ford,vorteil,freie,kartellrecht,besteh,konkurrent,genehm,grundsatz,kartell,kontroll,off,einzeln,darf,dah,regeln,bestimmt,verhindert,syst,beding,entsteh,verbot,offn,missbrauch,stellung,gleich,nachteil,zustand,scharf,dadurch,absprach,grenz,vollig,wettbewerbspolit,last,gefordert,vollstand,wettbewerbsverzerr,industriepolit,genehmigt,zulass,monopolkommission,gelt,beispiel,weitgeh,untersagt,rechtlich,marktbeherrsch,erlaubt,reguliert,behind,aufheb,geschutzt,versuch,zentral,wettbewerbsbehord,behindert,marktwirtschaft,privat,durchsetz,regional,streng,monopolist,binnenmarkt,hand,verlang,konzentration,marktmacht,zusammenschluss,ermog,kartellbehord,notwend
 ,0.069,0.02,0.013,0.011,0.01,0.009,0.009,0.008,0.008,0.007,0.007,0.007,0.007,0.006,0.006,0.006,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002
topic50,sz,ja,sag,natur,nein,glaub,warum,tun,herr,brauch,richtig,beispiel,interview,leut,denk,einfach,vielleicht,gesagt,mal,wirklich,uberhaupt,genau,wiss,gemacht,gar,probl,bekomm,darub,daran,red,nie,ding,eigent,wann,find,nehm,falsch,mocht,stimmt,braucht,ubrig,trotzd,fuhrt,passiert,niemand,darf,versteh,schwierig,thema,genug,leid,darum,and,bedeutet,jemand,wer,moment,eben,situation,sach,problem,unterschied,desweg,fehl,gleich,vorstell,schau,gern,leb,kenn,wohl,lieb,antwort,bestimmt,eher,gewiss,lauft,getan,meinung,funktioniert,sinn,gehort,ausserd,bring,gegeb,geword,vernunft,vollig,genauso,person,helf,irgendwann,absolut,hangt,bissch,tut,nenn,erreich,paar,tat
 ,0.07,0.036,0.021,0.017,0.015,0.014,0.014,0.014,0.013,0.012,0.012,0.011,0.01,0.01,0.009,0.008,0.008,0.008,0.008,0.008,0.007,0.007,0.007,0.006,0.006,0.006,0.006,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002
topic51,minist,kabinett,wirtschaftsminist,ministerium,staatssekretar,zustand,rexrodt,wirtschaftsministerium,finanzminist,ressort,finanz,bisher,ministeri,berat,finanzministerium,wirtschaftspolit,vertret,parteilos,kundigt,woll,ausserd,bundeswirtschaftsministerium,haus,stellvertret,bundeswirtschaftsminister_günter_rexrodt,beamt,vorstell,aufgab,parlamentar,bundeswirtschaftsminist,inn,kompetenz,bundeskabinett,gefuhrt,zunach,ubernehm,verkehr,vorgeseh,beauftragt,gesund,zugleich,gehor,hiess,bundeswirtschaftsminister_werner_müller,wort,montag,verantwort,bildung,acht,gefordert,bestatigt,bislang,angekundigt,tack,nannt,bekannt,umwelt,gestellt,behalt,bundesminist,kabinettssitz,leitet,ressortchef,wunsch,staatsminist,superminist,verteid,raumt,kabinettsmitglied,bundesfinanzministerium,regierungssprech,kabinettsumbild,eigener_bericht,zuvor,leitung,fest,staatssekretarin,hombach,kritisiert,abteilungsleit,ministerin,erfahr,wirtschaftsminister_werner_müller,verwalt,abteil,umstritt,beteiligt,wirtschaftsressort,erstmal,vorgestellt,mosdorf,federfuhr,entschied,kurz,gehort,gegeb,justiz,gelt,beschloss,zweit
 ,0.095,0.037,0.034,0.031,0.027,0.026,0.021,0.019,0.015,0.014,0.014,0.014,0.014,0.011,0.01,0.009,0.009,0.008,0.007,0.006,0.006,0.006,0.005,0.005,0.005,0.005,0.005,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002
topic52,vw,daiml,bmw,chrysl,ford,porsch,volkswag,modell,fahrzeug,konz,autos,mark,audi,autobau,stuttgart,werk,wolfsburg,absatz,gm,herstell,autoherstell,produktion,motor,verkauft,auto,daimlerchrysl,toyota,renault,general_motors,konzern,rov,verkauf,klass,tocht,nissan,lkw,detroit,pkw,golf,smart,nutzfahrzeug,schrempp,autokonz,amerikan,marktanteil,autoindustri,pischetsried,autokonzern,bau,gelandewag,einheit,piëch,automobilherstell,fiat,peugeot,fabrik,kleinwag,automarkt,zetsch,gebaut,opel,mini,zulief,produziert,volvo,konkurrent,automobil,scania,wag,seat,band,mitsubishi,royc,fertig,nordamerika,manag,konzernchef,japan,jürgen_schrempp,stuck,bernd_pischetsrieder,psa,vorstandsvorsitz,karmann,dieter_zetsche,skoda,automobilindustri,erfolgreich,westeuropa,ingolstadt,honda,samuelsson,vergangenen_jahr,car,verkaufszahl,group,segment,ferdinand_piëch,neue_modelle,volkswagen_ag
 ,0.053,0.032,0.032,0.025,0.021,0.019,0.018,0.014,0.013,0.013,0.013,0.012,0.012,0.011,0.01,0.01,0.01,0.009,0.009,0.009,0.009,0.008,0.008,0.008,0.008,0.007,0.007,0.007,0.007,0.006,0.006,0.006,0.005,0.005,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.001,0.001,0.001,0.001,0.001,0.001
topic53,umsatz,konz,vorjahr,divid,ag,geschaftsjahr,verlust,ertrag,stieg,erhoht,verbessert,jahresuberschuss,vorstandsvorsitz,geschaft,spart,steig,betriebsergebnis,vorstand,erzielt,steu,aktionar,konzernumsatz,tocht,gestieg,grupp,gesteigert,vorstandschef,akti,laufenden_jahr,vergangenen_jahr,konzern,je,auftragseingang,plus,cash,hauptversamml,erreich,umsatzrendit,operativ,erstmal,akquisition,ausschutt,kraftig,erwirtschaftet,steiger,erlos,zweistell,unverandert,ergebnis_vor_steuern,schwierig,abschreib,inland,ausserordent,verbesser,bereinigt,zufried,ausbau,sank,flow,rechnet,geschaftsfeld,wuch,investition,schwarze_zahlen,laufenden_geschäftsjahr,steigert,ertragslag,ersten_quartal,ausgewies,wachs,zuversicht,verkauf,verbess,minus,negativ,bilanz,restrukturier,konzernergebnis,verringert,laufende_jahr,belastet,konsolidiert,geschaftsbereich,ertragskraft,bilanzpressekonferenz,rucklauf,abgelaufenen_geschäftsjahr,vorjahresniveau,operative_ergebnis,umsatzwachstum,ruckstell,ersten_halbjahr,mittelfrist,gesamtjahr,vorjahreswert,aktivitat,beigetrag,laufende_geschäftsjahr,erfreulich,aufwend
 ,0.041,0.024,0.017,0.017,0.016,0.015,0.011,0.011,0.011,0.009,0.009,0.008,0.007,0.007,0.007,0.007,0.007,0.007,0.007,0.006,0.006,0.006,0.006,0.006,0.005,0.005,0.005,0.005,0.005,0.005,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002
topic54,zeitung,berichtet,bericht,medi,spiegel,schreibt,blatt,samstag,bild,hamburg,info,zufolg,magazin,press,focus,schrieb,information,tageszeit,montag,zitiert,nachrichtenmagazin,woll,welt_am_sonntag,bestatigt,anzeig,beruf,erschein,bild_am_sonntag,wochen,wochenendzusammenfass,berliner_zeitung,stern,unterdess,ausgab,wonach,angeb,journalist,zeitungsbericht,financial_times_deutschland,spekulation,dementiert,tagesspiegel,plan,interview,darstell,demnach,kommentiert,sprecherin,genannt,hiess,nachricht,intern,kommentar,wort,medienbericht,meldet,wirtschaftswoch,zeitschrift,frankfurter_rundschau,faz,meldung,danach,bestat,wed,plant,wochenzeit,gesagt,kölner_stadt,offenbar,chefredakteur,kommenti,schreib,zuruckgewies,frankfurter_allgemeinen_zeitung,fuhrend,heiss,nachrichtenagentur,berichterstatt,bekannt,pressebericht,nehm,bezeichnet,wall_street_journal,süddeutschen_zeitung,artikel,montagausgab,frankfurter_allgemeinen_sonntagszeitung,süddeutsche_zeitung,dpa_in_redaktioneller_fassung,wollt,wirtschaftszeit,beruft,bericht_des_nachrichtenmagazins,anfrag,erwagt,angaben_der_zeitung,ftd,vergangenen_woche,wirtschaftsmagazin,frankfurter_allgemeine_zeitung
 ,0.092,0.055,0.051,0.046,0.033,0.028,0.025,0.022,0.021,0.02,0.02,0.019,0.018,0.017,0.016,0.015,0.015,0.014,0.014,0.014,0.011,0.01,0.01,0.009,0.008,0.008,0.008,0.008,0.007,0.007,0.007,0.007,0.006,0.006,0.006,0.006,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.004,0.004,0.004,0.004,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.001,0.001
topic55,branch,verband,maschinenbau,produktion,maschin,inland,chemi,anlagenbau,vdma,auftrag,nachfrag,herstell,auftragseingang,beschaftigt,chemisch,rechnet,firm,investition,elektrotechn,kapazitat,branchenverband,main,dusseldorf,beschaft,rechn,geschaft,zvei,export,bestell,chemieindustri,elektroindustri,vci,industriezweig,aufschwung,zunehm,anlag,real,wirtschaftszweig,textil,druck,gesamt,sieb,auslandsgeschaft,berichtet,auslast,prognos,inzwisch,steigend,auftragsbuch,zahl_der_beschäftigten,impuls,ausgelastet,automobilindustri,textilindustri,uberwieg,autoindustri,fachverband,boom,optimist,abnehm,elektronikindustri,inlandsgeschaft,durchschnitt,arbeitsplatz,auftragslag,sektor,drittel,auftragsbestand,fertig,voll,elektro,beleb,profiti,einschatz,hauptgeschaftsfuhr,spart,halft,insbesond,betrieb,acht,profitiert,ertragslag,stellenabbau,einzeln,ledig,bekleidungsindustri,weltmarkt,verstarkt,ertrag,personalabbau,uberkapazitat,zentralverband,dennoch,osteuropa,investi,zwolf,beschaftigtenzahl,gildemeist,rationalisier,kapazitatsauslast
 ,0.093,0.027,0.026,0.022,0.016,0.014,0.012,0.011,0.011,0.011,0.01,0.01,0.009,0.009,0.008,0.008,0.008,0.007,0.006,0.006,0.006,0.006,0.006,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.004,0.004,0.004,0.004,0.004,0.004,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002
topic56,schul,hochschul,student,bildung,lehr,universitat,studium,ausbild,bund,lern,pisa,bildungspolit,beruf,fach,akadem,kind,bafog,abschluss,unterricht,studiengebuhr,studi,wissenschaft,kultusminist,elt,absolvent,professor,ingenieur,studiengang,bundesland,fachhochschul,abitur,gew,leistung,uni,weiterbild,ford,padagog,bundesweit,mathemat,bachelor,studier,jugend,naturwissenschaft,schavan,bildungssyst,oecd,klass,bulmahn,hauptschul,sozial,gebuhr,kmk,sem,qualitat,kindergart,mast,elit,gefordert,grundschul,kultusministerkonferenz,brauch,angebot,gymnasium,ausgebildet,nachwuch,rektor,einfuhr,jahrig,les,unis,studienplatz,ganztagsschul,forschung,wiss,abiturient,qualifiziert,erzieh,schuljahr,statt,hrk,ausbau,mangel,informat,annette_schavan,wissenschaftsminist,schulsyst,jahrgang,chanc,junge_menschen,zweit,programm,syst,bildungswes,hochschulabsolvent,zugleich,prasidentin,test,verlangt,inhalt,best
 ,0.061,0.027,0.025,0.024,0.022,0.016,0.011,0.008,0.008,0.007,0.007,0.007,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.001,0.001,0.001,0.001,0.001
topic57,oecd,wto,handel,organisation,abkomm,zoll,entwicklungsland,verhandl,genf,gatt,welthandelsorganisation,welthandel,amerikan,abbau,wirtschaftliche_zusammenarbeit,industrieland,protektionismus,mitglied,schutz,liberalisier,globalisier,bilateral,freihandelszon,global,weltwirtschaft,handelspolit,abschluss,produkt,doha,regeln,subvention,offnung,protektionist,washington,landwirtschaft,freien,industriestaat,fortschritt,freihandel,kanada,offn,rahm,interess,beitritt,zugang,ilo,multilateral,welthandelsrund,vereinbar,strafzoll,welthandelsorganisation_wto,mandelson,sanktion,handelsabkomm,uruguay,europäische_union,handelsminist,seattl,dienstleist,generaldirektor,handelsbeauftragt,europäischen_union,freihandelsabkomm,transatlant,allgemein,arm,paris,massnahm,vereinigten_staaten,zusammenarbeit,lamy,marktzugang,japan,ford,erfolgreich,agrarsubvention,handelshemmnis,heimisch,off,brussel,handelskommissar,scheit,marktoffn,konferenz,bring,mitgliedsland,erfolg,reich,nafta,schwellenland,import,innerhalb,banan,liberalisierung_des_welthandels,dumping,vorteil,weltmarkt,moor,pascal_lamy,brittan
 ,0.047,0.036,0.022,0.017,0.017,0.013,0.011,0.01,0.01,0.01,0.009,0.008,0.008,0.008,0.007,0.007,0.006,0.006,0.006,0.006,0.006,0.006,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002
topic58,amerikan,bush,washington,clinton,demokrat,republikan,kongress,obama,amerika,milliarden_dollar,senat,bundesstaat,präsident_george,senator,georg,new_york,vereinigten_staaten,amerikas,präsident_bill_clinton,weißen_haus,kaliforni,bill_clinton,reprasentantenhaus,millionen_dollar,york,weiße_haus,gouverneur,obamas,gor,barack_obama,plan,konservativ,mccain,red,novemb,vizeprasident,kampf,washington_post,weißen_hauses,präsident_bush,aussenpolit,kerry,florida,steuersenk,administration,präsident_barack_obama,wahlkampf,george_bush,texas,dol,unterstutz,prasidentschaftskandidat,new,national,amtszeit,schwarzenegg,al_gore,hillary_clinton,york_times,american,präsident_george_bush,los_angeles,programm,chicago,billionen_dollar,ortszeit,prasidentschaftswahl,haus,präsident_clinton,edward,innenpolit,nation,john_mccain,bill,kennedy,prasidentschaft,wall_street_journal,reagan,the,geschicht,rubin,ex,botschaft,mehrheit,ronald_reagan,zz,washington_us,glaub,kaliforn,stimm,vorwahl,kandidat,new_yorker,bloomberg,bob,texan,san_francisco,new_york_times,ohio,amtsantritt
 ,0.072,0.064,0.051,0.032,0.025,0.023,0.023,0.018,0.014,0.014,0.01,0.01,0.009,0.008,0.008,0.008,0.007,0.006,0.006,0.006,0.005,0.005,0.005,0.005,0.005,0.005,0.004,0.004,0.004,0.004,0.004,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
