topic0,autos,auto,fahrzeug,herstell,pkw,autoindustri,kfz,vda,diesel,fahr,lit,pro,autofahr,verbrauch,automobilindustri,motor,wag,kilomet,benzin,gottschalk,branch,steu,neuwag,autoherstell,abwrackprami,iaa,modell,gramm,neuzulass,schwer,automobil,sparsam,fahrt,verband,kraftstoff,zugelass,adac,je,umweltfreund,handl,nutzfahrzeug,antrieb,hybrid,grenzwert,prami,sixt,kost,batteri,einheit,benzinpreis,verkauft,autokauf,einfuhr,absatz,strass,ps,entsprech,erreich,kauf,zulass,main,teur,acht,deutschen_hersteller,sprit,ausstoss,technisch,verkehr,alternativ,werkstatt,verband_der_automobilindustrie,automarkt,elektroautos,rad,fahrrad,kraftfahrzeug,durchschnitt,autobranch,bring,tankstell,brennstoffzell,treibstoff,cent,autobau,nachfrag,katalysator,senk,tempolimit,mobilitat,automobilherstell,flott,gesamt,bislang,motorrad,technik,belast,biodiesel,importeur,dieselmotor,autovermiet
 ,0.042,0.033,0.02,0.012,0.011,0.011,0.01,0.009,0.009,0.008,0.007,0.007,0.007,0.006,0.006,0.006,0.006,0.006,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002
topic6,prot,demonstration,aktion,polizei,demonstrant,strass,gewalt,tausend,unruh,demonstriert,kundgeb,stadt,protestiert,aufgeruf,hundert,npd,montag,samstag,aufruf,gewalttat,polizist,zahlreich,ging,mai,friedlich,teilnehm,anhang,grupp,zehntaus,gekomm,hauptstadt,verbot,demonstri,bild,protesti,rechtsextrem,jugend,beweg,kampf,verletzt,ausschreit,rechtsextremist,wollt,student,nahm,bevolker,gegn,sprach,burg,kampagn,veranstalt,auseinandersetz,organisation,sozial,abend,versammelt,organisiert,rechtsradikal,rechtsextremismus,richtet,kundigt,angst,widerstand,wochen,besetzt,versucht,boykott,schwer,opposition,protestaktion,nacht,zog,rief,hunderttaus,blockad,ford,landesweit,festgenomm,massiv,demokrat,ruf,aktivist,generalstreik,blockiert,szen,begleitet,morg,verhind,motto,zuvor,krawall,blieb,auslanderfeind,geschloss,fremdenfeind,anti,darunt,marsch,ort,ruft
 ,0.035,0.016,0.014,0.014,0.014,0.012,0.012,0.01,0.01,0.009,0.008,0.007,0.007,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002
topic7,buch,kultur,kunst,geschicht,bild,les,jahrhundert,autor,art,nam,leb,verlag,kulturell,bekannt,kunstl,werk,musik,titel,modern,sprach,seit,histor,museum,ide,jena,tradition,gehort,band,englisch,gesellschaft,stuck,haus,theat,wort,geschrieb,person,find,geword,jenopt,begriff,form,schreibt,beruhmt,natur,erschi,entstand,raum,seri,schriftstell,findet,vielfalt,zweit,klassisch,ebenso,schott,stiftung,goeth,erfolgreich,gemacht,text,zeiss,verleg,erfind,konzert,damal,ubersetz,literatur,sammlung,denk,bedeut,verbind,gegrundet,fand,vorstell,erschein,anfang,aufmerksam,lebend,kreativ,ehemal,heutig,verstand,platz,reih,generation,zahlreich,gepragt,carl_zeiss,dicht,zusamm,oper,geburtstag,interessant,traditionell,beschreibt,beweg,zeitgenoss,buchhandel,gestalt,geistig
 ,0.023,0.013,0.009,0.009,0.009,0.007,0.007,0.007,0.007,0.006,0.006,0.006,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
topic8,punkt,index,wall_street,bors,akti,dow,dollar,nasdaq,jon,fiel,schloss,new_york,stieg,aktienmarkt,verlor,legt,anleg,amerikan,dow_jones,kurs,york,stand,nachd,breit,investor,analyst,verlust,ging,handl,kursgewinn,handel,vergangenen_woche,wall,notiert,street,aktienbors,anstieg,kraftig,aktienkurs,rendit,plus,verli,montag,staatsanleih,titel,jahrig,erhol,minus,unverandert,ebenfall,gefasst,standardwert,fed,tendiert,composit,konjunkturdat,stimmung,notenbank,geschloss,standard,rentenmarkt,mark,gehandelt,klettert,kursverlust,fest,poor,zog,gewinnmitnahm,schluss,gestieg,druck,new_yorker,technologiewert,sorgt,vortag,zins,finanzmarkt,verbessert,gefall,notier,freundlich,sitzung,uneinheit,industriewert,indiz,dat,sackt,profitiert,wies,verlauf,konjunktur,erholt,blieb,bekannt,reagiert,anhalt,intel,wochen,beendet
 ,0.05,0.047,0.018,0.017,0.014,0.014,0.011,0.011,0.011,0.011,0.01,0.009,0.009,0.009,0.008,0.008,0.008,0.007,0.007,0.007,0.006,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002
topic9,punkt,ifo,stimmung,index,aktuell,indikator,zew,verbessert,konjunktur,optimist,einschatz,umfrag,verbrauch,fruhindikator,geschaftsklima,gfk,konjunkturell,septemb,gestieg,verschlechtert,vormonat,institut,pessimist,anstieg,beurteilt,ruckgang,negativ,geschaftslag,volkswirt,einzelhandel,zuversicht,zuletzt,befragt,juli,aussicht,geschaftsklimaindex,marz,april,oktob,munch,juni,februar,gesunk,auftragseingang,januar,dusseldorf,weiterhin,sank,stieg,verarbeitenden_gewerbe,dat,zentrum,dezemb,kommend,mai,erstmal,baromet,zon,uberrasch,erhol,optimismus,beurteil,europäische_wirtschaftsforschung,entsprech,aufschwung,novemb,mannheim,prozentpunkt,saldo,hoffnung,veroffentlicht,konsument,konjunkturbaromet,rechn,konjunkturerwart,signalisiert,fiel,verbrauchervertrau,gunstig,unverandert,konsumklima,ermittelt,verbesser,conferenc,gerechnet,deutschen_wirtschaft,skeptisch,nachfrag,niveau,eingetrubt,gewerb,board,sowohl,geschaftserwart,nochmal,situation,gewicht,deutet,kommenden_monaten,blieb
 ,0.035,0.026,0.017,0.017,0.013,0.012,0.01,0.01,0.009,0.009,0.008,0.008,0.008,0.007,0.007,0.007,0.007,0.007,0.007,0.007,0.006,0.006,0.006,0.006,0.006,0.006,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002
topic10,unterschied,bzw,einzeln,insbesond,entsprech,wesent,bestimmt,jeweil,bedeut,regel,rahm,besteht,folgend,berucksicht,aufgrund,erheb,grundsatz,zusammenhang,verschied,allgemein,hinsicht,betracht,form,ergeb,person,dr,erford,sowohl,vorteil,somit,erfolgt,bezug,besteh,art,sogenannt,dar,tatsach,verfug,haufig,erfolg,wobei,tatig,daraus,verbund,beispielsweis,handelt,bewert,dah,aspekt,basis,voraussetz,beurteil,ergibt,lasst,vergleichbar,unmittelbar,verhaltnis,dadurch,fuhrt,ca,vergleich,bestimm,namlich,geeignet,hinblick,rechnung,instrument,darstell,innerhalb,kriteri,derart,notwend,zunach,individuell,ausschliess,leistung,bedeutet,relativ,vorhand,regelmass,gleich,vielmehr,verfahr,method,abhang,bedarf,erfahr,entspricht,grundlag,unterscheid,gegeb,umfang,hierbei,enthalt,gesamt,angemess,hierfur,verbind,zeitraum,speziell
