date,d_gdp
1992-03-31,6.20673947627388
1992-06-30,-3.0213379367563
1992-09-30,-1.35537899151181
1992-12-31,-0.18730976694421
1993-03-31,-3.90660280015744
1993-06-30,0.141869127218897
1993-09-30,3.01461624729527
1993-12-31,-0.8455669619714
1994-03-31,5.2789087335281
1994-06-30,1.48234101318998
1994-09-30,3.17772668906038
1994-12-31,4.42497527360075
1995-03-31,-1.545456467964
1995-06-30,3.89760618373423
1995-09-30,1.03597828305375
1995-12-31,-0.540175639148543
1996-03-31,-3.93824264288547
1996-06-30,6.09458209683602
1996-09-30,2.41206761063637
1996-12-31,1.24499878188011
1997-03-31,-2.27058320192199
1997-06-30,5.80651782957844
1997-09-30,1.31795835874122
1997-12-31,2.79721419638825
1998-03-31,2.95076191679264
1998-06-30,-1.51605574306615
1998-09-30,1.17003496024282
1998-12-31,-0.0865519856237285
1999-03-31,3.0611844365783
1999-06-30,0.515076796143532
1999-09-30,4.35157875365348
1999-12-31,4.51457774744846
2000-03-31,4.29820003460648
2000-06-30,4.33463140608019
2000-09-30,-0.493015674575048
2000-12-31,-0.0822283896408038
2001-03-31,5.83713608477581
2001-06-30,0.44550199512301
2001-09-30,-1.2567790200066
2001-12-31,0.770752228739369
2002-03-31,-1.38029163657762
2002-06-30,1.13705660323866
2002-09-30,1.53799643087531
2002-12-31,-0.768259018073891
2003-03-31,-3.12866646600192
2003-06-30,-0.326464005063443
2003-09-30,1.87353972497064
2003-12-31,1.62206223902146
2004-03-31,0.0404673984867543
2004-06-30,1.29279983256332
2004-09-30,-0.68627962537775
2004-12-31,0.121193759448701
2005-03-31,-0.484995512584874
2005-06-30,2.57987390338243
2005-09-30,3.04214415407529
2005-12-31,1.35350447616283
2006-03-31,4.34786889476158
2006-06-30,5.9312373442431
2006-09-30,3.85470844727571
2006-12-31,5.18349321342768
2007-03-31,2.34095438778219
2007-06-30,2.28990349003944
2007-09-30,3.31766498169301
2007-12-31,1.40819118943512
2008-03-31,3.97537090087674
2008-06-30,-1.54128631065831
2008-09-30,-1.8057057704187
2008-12-31,-7.98310559319688
2009-03-31,-16.8535075453065
2009-06-30,0.981306610610844
2009-09-30,2.96847373504683
2009-12-31,4.10379131891645
2010-03-31,1.92123328043508
2010-06-30,7.93232503451158
2010-09-30,3.21888141086575
2010-12-31,3.34108671029156
2011-03-31,6.09018460083703
2011-06-30,0.363934153028467
2011-09-30,1.70606910479769
2011-12-31,0.398244138430925
2012-03-31,2.63289350579683
2012-06-30,-0.32366825771426
2012-09-30,0.790727187144213
2012-12-31,-1.83544341122364
2013-03-31,0
2013-06-30,2.87538303504427
2013-09-30,NaN
2013-12-31,NaN
2014-03-31,NaN
2014-06-30,NaN
